"",,,PILLAR 1,PILLAR 3,PILLAR 4,
"",Country,,Refugee,Reintegration,IDP,
"",,,programme,projects,projects,Total
Afghanistan,Budget,,"51,093,485","46,829,610","11,812,591","109,735,686"
"",Expenditure,,"28,829,678","27,639,064","11,572,590","68,041,332"
Islamic Republic of Iran,Budget,,"36,534,955",0,0,"36,534,955"
"",Expenditure,,"20,746,348",0,0,"20,746,348"
Pakistan,Budget,,"95,459,274",0,"206,854,620","302,313,894"
"",Expenditure,,"39,957,808",0,"121,939,059","161,896,867"
"",Total budget,,"183,087,714","46,829,610","218,667,211","448,584,535"
"",Total expenditure,,"89,533,834","27,639,064","133,511,649","250,684,547"
