Operation,,,,,,
"",,Pillar 1,Pillar 2,Pillar 3,Pillar 4,
"",,Refugee,Stateless,Reintegration,IDP,Total
"",,programme,programme,projects,projects,
SOUTH-WEST ASIA,,,,,,
Afghanistan,Budget,"66,838,574",0,"56,925,099","26,880,214","150,643,886"
"",Expenditure,"42,224,188",0,"17,783,147","10,347,436","70,354,771"
"Iran, Islamic Republic of",Budget,"72,823,782",0,0,0,"72,823,782"
"",Expenditure,"21,931,324",0,0,0,"21,931,324"
Pakistan,Budget,"58,402,599","304,241","49,613,617","28,382,173","136,702,630"
"",Expenditure,"27,959,279","206,098","18,788,611","17,310,394","64,264,381"
Subtotal,Budget,"198,064,955","304,241","106,538,716","55,262,387","360,170,298"
"",Expenditure,"92,114,790","206,098","36,571,757","27,657,830","156,550,476"
